tournament,platform,video_id,watch_url,title,channel,channel_id,duration_seconds,detected_year,detected_round,best_match_id,match_score,minimum_player_score,match_status,source_collections,research_confidence,last_checked_utc
Australian Open,youtube,wL_Jmh2HQk4,https://www.youtube.com/watch?v=wL_Jmh2HQk4,Jennifer Capriati vs Elena Dementieva (2001 Key Biscayne Semifinal),Julian N,UCmQ_81EV8SBE_DDSd3s63cg,2979,2001,SF,australian-open-2001-women-sf-jennifer-capriati-lindsay-davenport,0.647,0.294,unmatched_target_round_candidate,"""Jennifer Capriati"" ""Lindsay Davenport"" 2001 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,6CTG_8qBvmE,https://www.youtube.com/watch?v=6CTG_8qBvmE,Melbourne 2001 - Hewitt vs Grosjean (Final),C`moon Lleyton,UC3VttYUVSmi35bChd2uR91g,8581,2001,F,australian-open-2001-women-f-jennifer-capriati-martina-hingis,0.333,0.323,unmatched_target_round_candidate,"""Andre Agassi"" ""Sebastien Grosjean"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,W2wFlKR52cQ,https://www.youtube.com/watch?v=W2wFlKR52cQ,Semifinal Masters 2001 Lindsay Davenport vs Kim Clijsters,Fred Des,UCXNnL5jVDmL61WkXmBzvuHw,6457,2001,SF,australian-open-2001-women-sf-jennifer-capriati-lindsay-davenport,0.600,0.200,unmatched_target_round_candidate,"""Anastasia Myskina"" ""Kim Clijsters"" 2003 Australian Open quarterfinal full match | ""Kim Clijsters"" ""Lindsay Davenport"" 2003 US Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,_f7RCyad7a0,https://www.youtube.com/watch?v=_f7RCyad7a0,Sébastien Grosjean vs Tommy Haas (Paris 2001 - SF Highlights),Les pépites du tennis,UCyavt8PJVtoGObsIt2RdxOg,515,2001,SF,australian-open-2001-men-sf-arnaud-clement-sebastien-grosjean,0.602,0.204,unmatched_target_round_candidate,"""Carlos Moya"" ""Sebastien Grosjean"" 2001 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,7AEnIFa5fDU,https://www.youtube.com/watch?v=7AEnIFa5fDU,Williams/Williams v Davenport/Morariu Full Match | Australian Open 2001 Final,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,4950,2001,F,australian-open-2001-men-f-andre-agassi-arnaud-clement,0.304,0.194,unmatched_target_round_candidate,Classic Full Matches | Australian Open,,2026-09-22T16:07:53+00:00
Australian Open,youtube,SgB_02U9gFw,https://www.youtube.com/watch?v=SgB_02U9gFw,Capriati Saves FOUR Championship Points to Win! | Capriati v Hingis | Australian Open 2002 Final,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,405,2002,F,australian-open-2002-women-f-jennifer-capriati-martina-hingis,0.620,0.600,unmatched_target_round_candidate,"""Jennifer Capriati"" ""Kim Clijsters"" 2002 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,YLlavMzX01o,https://www.youtube.com/watch?v=YLlavMzX01o,Hingis/Kournikova v Hantuchova/Sanchez-Vicario Full Match | Australian Open 2002 Final,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,5464,2002,F,australian-open-2002-women-f-jennifer-capriati-martina-hingis,0.390,0.279,unmatched_target_round_candidate,Classic Full Matches | Australian Open,,2026-09-22T16:07:53+00:00
Australian Open,youtube,r8HeMYzD-NQ,https://www.youtube.com/watch?v=r8HeMYzD-NQ,Marcelo Ríos vs Andre Agassi SF Miami 2002  Highlights,Egor Geroev,UC8EhI846cmlQ2K4Rw0d6_rQ,820,2002,SF,australian-open-2002-women-sf-martina-hingis-monica-seles,0.385,0.353,unmatched_target_round_candidate,"""Marcelo Rios"" ""Tommy Haas"" 2002 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,NQJCf4jA1Ps,https://www.youtube.com/watch?v=NQJCf4jA1Ps,New York 2002 - Hewitt vs El Aynaoui (QF),C`moon Lleyton,UC3VttYUVSmi35bChd2uR91g,6481,2002,QF,australian-open-2002-men-qf-marat-safin-wayne-ferreira,0.314,0.294,unmatched_target_round_candidate,"""Lleyton Hewitt"" ""Younes El Aynaoui"" 2002 US Open quarterfinal full match | ""Yevgeny Kafelnikov"" ""Younes El Aynaoui"" 2000 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,1JzHszFllcw,https://www.youtube.com/watch?v=1JzHszFllcw,Safin vs. Haas 2002 AO SF 5th set Highlights,T V,UCIGonk5FR4RCFIr320xyfdA,571,2002,SF,australian-open-2002-men-sf-marat-safin-tommy-haas,0.562,0.500,unmatched_target_round_candidate,"""Marat Safin"" ""Tommy Haas"" 2002 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,ORVubcxaKg0,https://www.youtube.com/watch?v=ORVubcxaKg0,WTA Tour Championship 2002 Final Kim Clijsters vs Serena Williams,Vintage Tennis,UCVRBz3lDgvyRJeMS_B75fMA,5469,2002,F,australian-open-2002-women-f-jennifer-capriati-martina-hingis,0.337,0.190,unmatched_target_round_candidate,"""Justine Henin"" ""Kim Clijsters"" 2002 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,h2zuEcXq-DU,https://www.youtube.com/watch?v=h2zuEcXq-DU,2003 Australian Open Doubles Final,Casey Schnabel,UCtiuMMVVLsZIfddO3JGlwGg,2418,2003,F,australian-open-2003-men-f-andre-agassi-rainer-schuettler,0.000,0.000,unmatched_target_round_candidate,"""Justine Henin"" ""Virginia Ruano Pascual"" 2003 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,Oe-X5IS5Vms,https://www.youtube.com/watch?v=Oe-X5IS5Vms,2003 Australian Open QF,Tennis videos,UCSGUVhE6DWujSBnCSaW3v2w,2680,2003,QF,australian-open-2003-men-qf-andre-agassi-sebastien-grosjean,0.000,0.000,unmatched_target_round_candidate,"""Anastasia Myskina"" ""Kim Clijsters"" 2003 Australian Open quarterfinal full match | ""Justine Henin"" ""Virginia Ruano Pascual"" 2003 Australian Open quarterfinal full match | ""Meghann Shaughnessy"" ""Serena Williams"" 2003 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,RjChbqT2DH0,https://www.youtube.com/watch?v=RjChbqT2DH0,Agassi v El Aynaoui 2003 Miami Quarter Final,Serve & Folley Tennis,UCOdWMl7EqDJ-GSGgq1klLpg,6591,2003,QF,australian-open-2003-men-qf-andre-agassi-sebastien-grosjean,0.447,0.226,unmatched_target_round_candidate,"""Andre Agassi"" ""Hicham Arazi"" 2000 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,CO7AVEmKUXw,https://www.youtube.com/watch?v=CO7AVEmKUXw,Agassi v Schuettler 2003 Australian Open Men's Final Highlights,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,203,2003,F,australian-open-2003-men-f-andre-agassi-rainer-schuettler,0.583,0.500,unmatched_target_round_candidate,"""Andre Agassi"" ""Rainer Schuettler"" 2003 Australian Open final full match | ""Andy Roddick"" ""Rainer Schuettler"" 2003 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,Lq-FqGj32DQ,https://www.youtube.com/watch?v=Lq-FqGj32DQ,French Open 2003 QF  Serena Williams vs Amilie Mauresmo,Vintage Tennis,UCVRBz3lDgvyRJeMS_B75fMA,3988,2003,QF,australian-open-2003-women-qf-meghann-shaughnessy-serena-williams,0.706,0.412,unmatched_target_round_candidate,"""Amelie Mauresmo"" ""Serena Williams"" 2005 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,bOjyNSiA3ek,https://www.youtube.com/watch?v=bOjyNSiA3ek,Henin vs Williams 2003 Women's semi-final Full Match | Roland-Garros,Roland-Garros,UCF3K1Jf8hjFW8qliei8fQ3A,8707,2003,SF,australian-open-2003-women-sf-justine-henin-venus-williams,0.528,0.500,unmatched_target_round_candidate,"""Justine Henin"" ""Venus Williams"" 2003 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,hp2sZcgR4ZQ,https://www.youtube.com/watch?v=hp2sZcgR4ZQ,Los Angeles 2003 - Hewitt vs Ferreira (Final),C`moon Lleyton,UC3VttYUVSmi35bChd2uR91g,6337,2003,F,australian-open-2003-women-f-serena-williams-venus-williams,0.315,0.216,unmatched_target_round_candidate,"""Andre Agassi"" ""Wayne Ferreira"" 2003 Australian Open semifinal full match | ""Marat Safin"" ""Wayne Ferreira"" 2002 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,IXeiNouFZ98,https://www.youtube.com/watch?v=IXeiNouFZ98,Mary Pierce vs Meghann Shaughnessy 2003 Fed Cup Final Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,1203,2003,F,australian-open-2003-men-f-andre-agassi-rainer-schuettler,0.313,0.197,unmatched_target_round_candidate,"""Meghann Shaughnessy"" ""Serena Williams"" 2003 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,PHzMjZxb-L8,https://www.youtube.com/watch?v=PHzMjZxb-L8,Roddick vs El Aynaoui - Australian Open 2003 QF Full Match,Pavel 4,UCWEiF-XLA6uXqwUlI43jdQA,14771,2003,QF,australian-open-2003-men-qf-andy-roddick-younes-el-aynaoui,0.702,0.667,unmatched_target_round_candidate,"""Andy Roddick"" ""Younes El Aynaoui"" 2003 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,uFyauGsmJyg,https://www.youtube.com/watch?v=uFyauGsmJyg,Venus Amazing Backhand - Australian Open 2003 SF,Tennis History,UCNBza51wmUIO4Yn_USpBtxg,112,2003,SF,australian-open-2003-women-sf-justine-henin-venus-williams,0.250,0.000,unmatched_target_round_candidate,"""Daniela Hantuchova"" ""Venus Williams"" 2003 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,KOd_4KGfy14,https://www.youtube.com/watch?v=KOd_4KGfy14,2004 Wimbledon QF Amelie Mauresmo vs Paola Suarez Highlights,piercemary,UCN0KRuTBmUHtWqLlvtbCgEQ,388,2004,QF,australian-open-2004-men-qf-andre-agassi-sebastien-grosjean,0.309,0.275,unmatched_target_round_candidate,"""Amelie Mauresmo"" ""Fabiola Zuluaga"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,EDfLkLJQ3GM,https://www.youtube.com/watch?v=EDfLkLJQ3GM,ATP 2004 Austrlain Open QF Roddick vs Safin,arvind13,UCAlpwZB2nD2Bgo3251QMNRw,10227,2004,QF,australian-open-2004-men-qf-andy-roddick-marat-safin,0.562,0.500,unmatched_target_round_candidate,"""Andy Roddick"" ""Marat Safin"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,kHk769PCBSw,https://www.youtube.com/watch?v=kHk769PCBSw,Clijsters v Henin: 2004 Australian Open Women's Final Highlights,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,202,2004,F,australian-open-2004-women-f-justine-henin-kim-clijsters,0.659,0.500,unmatched_target_round_candidate,"""Anastasia Myskina"" ""Kim Clijsters"" 2004 Australian Open quarterfinal full match | ""Fabiola Zuluaga"" ""Justine Henin"" 2004 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,cP6oHzgwafs,https://www.youtube.com/watch?v=cP6oHzgwafs,Elena Dementieva vs Amelie Mauresmo 2004 Roland Garros QF Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,596,2004,QF,australian-open-2004-women-qf-justine-henin-lindsay-davenport,0.324,0.164,unmatched_target_round_candidate,"""Amelie Mauresmo"" ""Fabiola Zuluaga"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,hOji2K6gDVY,https://www.youtube.com/watch?v=hOji2K6gDVY,Federer vs Nalbandian AO QF 2004,kazuya112,UChTV7Uz74fwMaTMv3cPEk4g,397,2004,QF,australian-open-2004-men-qf-david-nalbandian-roger-federer,0.620,0.541,unmatched_target_round_candidate,"""David Nalbandian"" ""Roger Federer"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,yp-ByiV7lZc,https://www.youtube.com/watch?v=yp-ByiV7lZc,Justine Henin vs Lindsay Davenport 2004 Indian Wells Final Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,721,2004,F,australian-open-2004-women-f-justine-henin-kim-clijsters,0.654,0.308,unmatched_target_round_candidate,"""Justine Henin"" ""Lindsay Davenport"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,f6A9jfKbiRc,https://www.youtube.com/watch?v=f6A9jfKbiRc,Lindsay Davenport v. Elena Dementieva 2004 Sydney QF highlights,Chris CZE,UCEeFBqfoJQQ-uk4r25AZWtA,1110,2004,QF,australian-open-2004-women-qf-justine-henin-lindsay-davenport,0.500,0.000,unmatched_target_round_candidate,"""Justine Henin"" ""Lindsay Davenport"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,BOZhaXI403A,https://www.youtube.com/watch?v=BOZhaXI403A,Pure POWER Tennis! Andy Roddick vs Marat Safin | ATP Finals 2004 Extended Highlights,Tennis TV,UCbcxFkd6B9xUU54InHv4Tig,753,2004,F,australian-open-2004-men-f-marat-safin-roger-federer,0.686,0.372,unmatched_target_round_candidate,"""Andy Roddick"" ""Marat Safin"" 2004 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,LYHz5s2Atso,https://www.youtube.com/watch?v=LYHz5s2Atso,2005 Filderstadt Semifinal Davenport vs Hantuchova,Michael Hattenberg,UCVwztqjn-qlWVuzu5xf6DwA,4591,2005,SF,australian-open-2005-women-sf-lindsay-davenport-nathalie-dechy,0.431,0.333,unmatched_target_round_candidate,"""Lindsay Davenport"" ""Nathalie Dechy"" 2005 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,LINGAEW2gjA,https://www.youtube.com/watch?v=LINGAEW2gjA,2005 Stanford Semifinal V.Williams vs Schnyder,Michael Hattenberg,UCVwztqjn-qlWVuzu5xf6DwA,1993,2005,SF,australian-open-2005-women-sf-maria-sharapova-serena-williams,0.352,0.204,unmatched_target_round_candidate,"""Kim Clijsters"" ""Patty Schnyder"" 2004 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,ILg0hhzc8VI,https://www.youtube.com/watch?v=ILg0hhzc8VI,Elena Dementieva v. Patty Schnyder 2005 Sydney QF highlights,Chris CZE,UCEeFBqfoJQQ-uk4r25AZWtA,1490,2005,QF,australian-open-2005-women-qf-nathalie-dechy-patty-schnyder,0.500,0.000,unmatched_target_round_candidate,"""Nathalie Dechy"" ""Patty Schnyder"" 2005 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,GbcdNKGhmLU,https://www.youtube.com/watch?v=GbcdNKGhmLU,Miami 2005 QF JH vs MS (Eng),JH Matches,UCUaRqe623NTKtdezTroRB7A,7398,2005,QF,australian-open-2005-men-qf-dominik-hrbaty-marat-safin,0.343,0.333,unmatched_target_round_candidate,"""Maria Sharapova"" ""Svetlana Kuznetsova"" 2005 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,pUbnCOoJZX0,https://www.youtube.com/watch?v=pUbnCOoJZX0,2006 Amelia Island Final Petrova vs Schiavone,Michael Hattenberg,UCVwztqjn-qlWVuzu5xf6DwA,3496,2006,F,australian-open-2006-women-f-amelie-mauresmo-justine-henin,0.331,0.298,unmatched_target_round_candidate,"""Maria Sharapova"" ""Nadia Petrova"" 2006 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,JhR23HNOGio,https://www.youtube.com/watch?v=JhR23HNOGio,2006 Australian Open SF Federer vs Kiefer,MedTalks,UCUaPwaPiGlDbjb53rDS_utw,1879,2006,SF,australian-open-2006-men-sf-nicolas-kiefer-roger-federer,0.550,0.500,unmatched_target_round_candidate,"""Nicolas Kiefer"" ""Roger Federer"" 2006 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,toNp7Qi7odc,https://www.youtube.com/watch?v=toNp7Qi7odc,2006 Stanford Final Clijsters vs Schnyder,Michael Hattenberg,UCVwztqjn-qlWVuzu5xf6DwA,1986,2006,F,australian-open-2006-women-f-amelie-mauresmo-justine-henin,0.279,0.273,unmatched_target_round_candidate,"""Kim Clijsters"" ""Patty Schnyder"" 2004 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,3OxnUUFYTYs,https://www.youtube.com/watch?v=3OxnUUFYTYs,Australian Open 2006 - Final - Federer vs. Baghdatis,Nicolás Torti Garcia,UCKYIQXQGeyq5vZghJKv4phA,8537,2006,F,australian-open-2006-men-f-marcos-baghdatis-roger-federer,0.610,0.500,unmatched_target_round_candidate,"""Ivan Ljubicic"" ""Marcos Baghdatis"" 2006 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,7xHW1ODSg7E,https://www.youtube.com/watch?v=7xHW1ODSg7E,RG 2006 QF JH vs ALG,JH Matches,UCUaRqe623NTKtdezTroRB7A,4313,2006,QF,australian-open-2006-men-qf-ivan-ljubicic-marcos-baghdatis,0.228,0.207,unmatched_target_round_candidate,"""Amelie Mauresmo"" ""Patty Schnyder"" 2006 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,AGEfAbM9ZdY,https://www.youtube.com/watch?v=AGEfAbM9ZdY,Sport_Australian Open Tennis 2006 Womens Quarter Final Hingis v Clijsters,AJ Huang,UCYO73JMpVRlc-1lb2ngrh2Q,5467,2006,QF,australian-open-2006-women-qf-kim-clijsters-martina-hingis,0.659,0.500,unmatched_target_round_candidate,"""Kim Clijsters"" ""Martina Hingis"" 2007 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,EcyZIVyvfBY,https://www.youtube.com/watch?v=EcyZIVyvfBY,Australian Open 2007 Final R.Federer vs F.González,jos6777,UCx4Ktmp6fFTBycHmdlIovXQ,11762,2007,F,australian-open-2007-men-f-fernando-gonzalez-roger-federer,0.620,0.500,unmatched_target_round_candidate,"""Roger Federer"" ""Tommy Robredo"" 2007 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,Es1uXly2Qik,https://www.youtube.com/watch?v=Es1uXly2Qik,Serena Williams v. Nicole Vaidisova 2007 Moscow QF highlights,Chris CZE,UCEeFBqfoJQQ-uk4r25AZWtA,1514,2007,QF,australian-open-2007-women-qf-lucie-safarova-nicole-vaidisova,0.500,0.000,unmatched_target_round_candidate,"""Lucie Safarova"" ""Nicole Vaidisova"" 2007 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,Ud2sA7epW7A,https://www.youtube.com/watch?v=Ud2sA7epW7A,Serena Williams vs Nicole Vaidisova 2007 Miami QF Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,466,2007,QF,australian-open-2007-women-qf-lucie-safarova-nicole-vaidisova,0.627,0.255,unmatched_target_round_candidate,"""Nicole Vaidisova"" ""Serena Williams"" 2007 Australian Open semifinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,-BA3fnCUalw,https://www.youtube.com/watch?v=-BA3fnCUalw,Sharapova v Williams: 2007 Australian Open Women's Final,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,209,2007,F,australian-open-2007-women-f-maria-sharapova-serena-williams,0.625,0.500,unmatched_target_round_candidate,"""Maria Sharapova"" ""Serena Williams"" 2007 Australian Open final full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,fOxWo-RIo4w,https://www.youtube.com/watch?v=fOxWo-RIo4w,Djokovic VS Ferrer Australian Open 2008 QF Highlights,DJOKOVIC HIGHLIGHTS,UC_22L3nYmdsKXd7NO3_CDBg,568,2008,QF,australian-open-2008-men-qf-david-ferrer-novak-djokovic,0.614,0.500,unmatched_target_round_candidate,"""David Ferrer"" ""Novak Djokovic"" 2008 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,rwtHYAsbuf8,https://www.youtube.com/watch?v=rwtHYAsbuf8,Ivanovic - Hantuchova: 2008 Australian Open Women's Semi Final  PART 1,bladerunner65it,UCL_woO9UlYex31Bl55pMUMg,1804,2008,SF,australian-open-2008-women-sf-ana-ivanovic-daniela-hantuchova,0.500,0.500,unmatched_target_round_candidate,"""Ana Ivanovic"" ""Venus Williams"" 2008 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
Australian Open,youtube,f5CuSX3SbxY,https://www.youtube.com/watch?v=f5CuSX3SbxY,Sharapova vs Henin - Australian Open 2008 - Quarter Final*,anhvan68hoathinh,UCSAounQ1_JEgrolq2zHDVAw,767,2008,QF,australian-open-2008-women-qf-justine-henin-maria-sharapova,0.625,0.500,unmatched_target_round_candidate,"""Jelena Jankovic"" ""Maria Sharapova"" 2008 Australian Open semifinal full match | ""Justine Henin"" ""Maria Sharapova"" 2008 Australian Open quarterfinal full match | ""Maria Sharapova"" ""Nadia Petrova"" 2006 Australian Open quarterfinal full match",,2026-09-22T16:07:53+00:00
